Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles
Long Jump,Plyometrics,Legs,Jump,Intermediate,,"Jump forward as far as possible, focusing on your legs.",Increase speed for more intensity.,Keep your core engaged.,Builds leg strength and coordination.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Lever Assisted Single Leg Press,Strength,Legs,Press,Intermediate,Lever Machine,"Press the lever with one leg, focusing on your quads.",Use different weights for variation.,Keep your core engaged.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Cable One-Arm Overhead Triceps Extension,Strength,Triceps,Extension,Intermediate,Cable Machine,"Extend the cable overhead with one arm, focusing on your triceps.",Adjust cable height for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Standing Barbell Triceps Extension,Strength,Triceps,Extension,Intermediate,Barbell,"Extend the barbell overhead while standing, focusing on your triceps.",Use different weights for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Nordic Hamstring Curl,Strength,Hamstrings,Curl,Advanced,,Curl your hamstrings while keeping your body straight.,Hold a weight plate for added resistance.,Keep your core engaged.,Builds hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,Glutes,Quadriceps,"Core, Lower Back"
Inverted Row,Strength,Back,Pull,Beginner,,"Pull your chest to the bar while inverted, focusing on your back.",Increase speed for more intensity.,Keep your core engaged.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back"
Smith Machine Decline Bench Press,Strength,Chest,Push,Intermediate,Smith Machine,"Press the barbell while on a decline bench, focusing on your chest.",Use different weights for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
One Arm Decline Cable Fly,Strength,Chest,Fly,Intermediate,Cable Machine,"Fly the cable with one arm while on a decline bench, focusing on your chest.",Adjust cable height for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers"
One Arm Kettlebell Snatch,Strength,Full Body,Complex,Advanced,Kettlebell,"Snatch the kettlebell overhead with one arm, focusing on your full body.",Use different weights for variation.,Keep your core engaged.,Builds full body strength and coordination.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Lever Cable Rear Pulldown,Strength,Back,Pull,Intermediate,Lever Machine,"Pull the lever cable towards your body, focusing on your back.",Adjust cable height for variation.,Keep your core engaged.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
Close Grip Z-Bar Curl,Strength,Biceps,Curl,Intermediate,Z-Bar,"Curl the Z-bar with a close grip, focusing on your biceps.",Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Dumbbell Scott Curl,Strength,Biceps,Curl,Intermediate,Dumbbells,"Curl the dumbbells on a Scott bench, focusing on your biceps.",Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Cross Cable Face Pull,Strength,Shoulders,Pull,Intermediate,Cable Machine,"Pull the cables towards your face, focusing on your shoulders.",Adjust cable height for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Shotgun Row,Strength,Back,Pull,Intermediate,Barbell,"Row the barbell towards your chest with a wide grip, focusing on your back.",Use different weights for variation.,Keep your core engaged.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
Elbow Reverse Push-Up,Strength,Chest,Push,Beginner,,"Perform a push-up while on your elbows, focusing on your chest.",Increase speed for more intensity.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers"
Impossible Dips,Strength,Chest,Push,Advanced,,"Perform dips with your legs straight and elevated, focusing on your chest.",Increase speed for more intensity.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers"
Korean Dips,Strength,Chest,Push,Advanced,,"Perform dips with your legs straight and elevated, focusing on your chest.",Increase speed for more intensity.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers"
Straight Bar Dip,Strength,Chest,Push,Advanced,,"Perform dips with your legs straight and elevated, focusing on your chest.",Increase speed for more intensity.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers"
Inchworm,Strength,Full Body,Stability,Beginner,,"Walk your hands out to a plank position and then back to your feet, focusing on your core.",Increase speed for more intensity.,Keep your core engaged.,Builds core strength and stability.,Dynamic.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Weighted One Arm Pull-up,Strength,Back,Pull,Advanced,Pull-up Bar,"Perform a pull-up with one arm and added weight, focusing on your back.",Use a weight belt for added resistance.,Keep your core engaged.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
Dumbbell One Arm Reverse Grip Press,Strength,Chest,Push,Intermediate,Dumbbells,"Press the dumbbell with a reverse grip, focusing on your chest.",Use different weights for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Cable Crossover Lat Pulldown,Strength,Back,Pull,Intermediate,Cable Machine,"Pull the cables down in a crossover motion, focusing on your lats.",Adjust cable height for variation.,Keep your core engaged.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
One Arm Landmine Row,Strength,Back,Pull,Intermediate,Landmine,"Row the landmine with one arm, focusing on your back.",Use different weights for variation.,Keep your core engaged.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back"
Front Plank With Arm And Leg Lift,Strength,Core,Stability,Intermediate,,Hold a plank position and lift one arm and the opposite leg.,Hold a weight plate for added resistance.,Keep your core engaged.,Builds core stability and strength.,Controlled.,Main workout,Stability,Rectus Abdominis,Glutes,Erector Spinae,"Core, Lower Back"
Horizontal Leg Press,Strength,Legs,Press,Intermediate,Leg Press Machine,"Press the platform with your legs, focusing on your quads.",Use different weights for variation.,Keep your core engaged.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Resistance Band Reverse Hyperextension,Strength,Back,Extension,Intermediate,Resistance Band,"Extend your back against resistance bands, focusing on your lower back.",Adjust band resistance for variation.,Keep your core engaged.,Builds lower back strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
Resistance Band Seated Shoulder Press,Strength,Shoulders,Push,Intermediate,Resistance Band,"Press the resistance band overhead while seated, focusing on your shoulders.",Adjust band resistance for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Resistance Band Toe Touch,Flexibility,Hamstrings,Stretch,Beginner,Resistance Band,"Touch your toes while holding a resistance band, focusing on your hamstrings.",Increase band resistance for more intensity.,Keep your core engaged.,Improves hamstring flexibility.,Static.,Cool down,Strength,Hamstrings,Glutes,Hip Flexors,"Core, Lower Back"
Barbell Curl On Arm Blaster,Strength,Biceps,Curl,Intermediate,Barbell,"Curl the barbell while using an arm blaster, focusing on your biceps.",Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Arm Blaster Hammer Curl,Strength,Biceps,Curl,Intermediate,Dumbbells,"Curl the dumbbells with a hammer grip while using an arm blaster, focusing on your biceps.",Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Brachialis,Biceps,Triceps,"Core, Scapular Stabilizers"
Dumbbell Curl On Arm Blaster,Strength,Biceps,Curl,Intermediate,Dumbbells,"Curl the dumbbells while using an arm blaster, focusing on your biceps.",Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Lever One Arm Chest Press,Strength,Chest,Push,Intermediate,Lever Machine,"Press the lever with one arm, focusing on your chest.",Use different weights for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers"
Weighted Lying Twist,Strength,Core,Rotation,Intermediate,Weight Plate,"Twist your torso while lying down with a weight plate, focusing on your core.",Use different weights for variation.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Standing One Arm Chest Stretch,Flexibility,Chest,Stretch,Beginner,,Stretch your chest by holding one arm out to the side and turning your body away.,Hold a weight plate for added resistance.,Keep your core engaged.,Improves chest flexibility.,Static.,Cool down,Stability,Pectorals,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Kneeling Hip Flexor Stretch,Flexibility,Hip Flexors,Stretch,Beginner,,Stretch your hip flexors by kneeling and pushing your hips forward.,Hold a weight plate for added resistance.,Keep your core engaged.,Improves hip flexibility.,Static.,Cool down,Stability,Hip Flexors,Quadriceps,Hamstrings,"Core, Lower Back"
Standing Quadriceps Stretch,Flexibility,Quads,Stretch,Beginner,,Stretch your quadriceps by standing and pulling your heel towards your butt.,Hold a weight plate for added resistance.,Keep your core engaged.,Improves quadriceps flexibility.,Static.,Cool down,Stability,Quadriceps,,Hamstrings,"Core, Lower Back"
Single Arm Medicine Ball Push-Up,Strength,Chest,Push,Advanced,Medicine Ball,"Perform a push-up with one hand on a medicine ball, focusing on your chest.",Increase speed for more intensity.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Stability Ball Decline Push-Up,Strength,Chest,Push,Intermediate,Stability Ball,"Perform a push-up with your feet on a stability ball, focusing on your chest.",Increase speed for more intensity.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Dumbbell Pullover On Stability Ball,Strength,Chest,Pull,Intermediate,Stability Ball,"Pull the dumbbell overhead while lying on a stability ball, focusing on your chest.",Use different weights for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,Pectorals,,"Core, Scapular Stabilizers"
Stability Ball Push-Up,Strength,Chest,Push,Intermediate,Stability Ball,"Perform a push-up with your hands on a stability ball, focusing on your chest.",Increase speed for more intensity.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Swiss Ball Rollout,Strength,Core,Stability,Intermediate,Swiss Ball,"Roll out on a Swiss ball, focusing on your core.",Hold a weight plate for added resistance.,Keep your core engaged.,Builds core strength and stability.,Controlled.,Main workout,Stability,Rectus Abdominis,,Erector Spinae,"Core, Lower Back"
Exercise Ball Wall Squat,Strength,Legs,Squat,Beginner,Exercise Ball,"Squat down with an exercise ball against the wall, focusing on your legs.",Use different weights for variation.,Keep your core engaged.,Builds leg strength.,Controlled.,Main workout,Stability,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Weighted Side Bend On Stability Ball,Strength,Core,Bend,Intermediate,Stability Ball,"Bend to the side on a stability ball with a weight plate, focusing on your obliques.",Use different weights for variation.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Exercise Ball Triceps Extension,Strength,Triceps,Extension,Intermediate,Exercise Ball,"Extend your triceps with an exercise ball, focusing on your triceps.",Use different weights for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Stability Ball V-Up,Strength,Core,Stability,Intermediate,Stability Ball,"Perform a V-Up with a stability ball, focusing on your core.",Hold a weight plate for added resistance.,Keep your core engaged.,Builds core strength and stability.,Controlled.,Main workout,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back"
Exercise Ball Frog Crunch,Strength,Core,Crunch,Intermediate,Exercise Ball,"Perform a frog crunch on an exercise ball, focusing on your core.",Hold a weight plate for added resistance.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back"
Leg Curl On Stability Ball,Strength,Hamstrings,Curl,Intermediate,Stability Ball,"Curl your legs on a stability ball, focusing on your hamstrings.",Use different weights for variation.,Keep your core engaged.,Builds hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,Glutes,Quadriceps,"Core, Lower Back"
Dumbbell Decline One-Arm Hammer Press,Strength,Chest,Push,Intermediate,Dumbbells,"Press the dumbbell with a hammer grip while on a decline bench, focusing on your chest.",Use different weights for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Bench Pike Push-up,Strength,Chest,Push,Intermediate,Bench,"Perform a pike push-up with your feet on a bench, focusing on your chest.",Increase speed for more intensity.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Pike Push-up,Strength,Chest,Push,Intermediate,,"Perform a pike push-up, focusing on your chest.",Increase speed for more intensity.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Tall Kneeling One Arm Kettlebell Press,Strength,Shoulders,Push,Intermediate,Kettlebell,"Press the kettlebell overhead while tall kneeling, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Kettlebell Clean and Jerk,Strength,Full Body,Complex,Advanced,Kettlebell,"Clean and jerk the kettlebell, focusing on your full body.",Use different weights for variation.,Keep your core engaged.,Builds full body strength and coordination.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Kettlebell Goblet Squat,Strength,Legs,Squat,Beginner,Kettlebell,"Squat down with a kettlebell held at your chest, focusing on your legs.",Use different weights for variation.,Keep your core engaged.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Lever Reverse T-Bar Row,Strength,Back,Pull,Intermediate,Lever Machine,"Row the lever bar towards your chest, focusing on your back.",Use different weights for variation.,Keep your core engaged.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back"
One Arm Biceps Curl,Strength,Biceps,Curl,Beginner,Dumbbells,"Curl the dumbbell with one arm, focusing on your biceps.",Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Kettlebell Deadlift,Strength,Legs,Lift,Beginner,Kettlebell,"Lift the kettlebell from the ground, focusing on your legs.",Use different weights for variation.,Keep your core engaged.,Builds leg strength.,Controlled.,Main workout,Strength,Hamstrings,"Glutes, Erector Spinae",Quadriceps,"Core, Lower Back"
Kettlebell Bent Over Row,Strength,Back,Pull,Intermediate,Kettlebell,"Row the kettlebell towards your chest while bent over, focusing on your back.",Use different weights for variation.,Keep your core engaged.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back"
Barbell Bench Front Squat,Strength,Legs,Squat,Intermediate,Barbell,"Squat down with a barbell on the front of your shoulders, focusing on your legs.",Use different weights for variation.,Keep your core engaged.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Dumbbell Burpees,Plyometrics,Full Body,Jump,Intermediate,Dumbbells,"Perform burpees while holding dumbbells, focusing on your full body.",Increase speed for more intensity.,Keep your core engaged.,Builds full body strength and coordination.,Dynamic.,Main workout,Power,Pectorals,"Triceps, Quadriceps",Latissimus Dorsi,"Core, Scapular Stabilizers"
Standing Toe Touches,Flexibility,Hamstrings,Stretch,Beginner,,"Touch your toes while standing, focusing on your hamstrings.",Hold a weight plate for added resistance.,Keep your core engaged.,Improves hamstring flexibility.,Static.,Cool down,Stability,Hamstrings,Glutes,Hip Flexors,"Core, Lower Back"
Standing Side Toe Touching,Flexibility,Obliques,Stretch,Beginner,,"Touch your toes to the side while standing, focusing on your obliques.",Hold a weight plate for added resistance.,Keep your core engaged.,Improves oblique flexibility.,Static.,Cool down,Stability,Hamstrings,Glutes,Hip Flexors,"Core, Lower Back"
Weighted Push-up,Strength,Chest,Push,Intermediate,Weight Plate,"Perform push-ups with a weight plate on your back, focusing on your chest.",Increase speed for more intensity.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Band Lying Hip External Rotation,Strength,Hips,Rotation,Intermediate,Resistance Band,Rotate your hips externally while lying down with a resistance band.,Adjust band resistance for variation.,Keep your core engaged.,Builds hip strength.,Controlled.,Main workout,Stability,Gluteus Medius,,Adductors,"Core, Lower Back"
Full Range Of Motion Lat Pulldown,Strength,Back,Pull,Intermediate,Lat Pulldown Machine,"Pull the bar down through a full range of motion, focusing on your lats.",Use different weights for variation.,Keep your core engaged.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
Ski Step,Cardio,Full Body,Dynamic,Beginner,,"Perform a skiing motion with your legs, focusing on your full body.",Increase speed for more intensity.,Keep your core engaged.,Builds cardiovascular endurance.,Dynamic.,Warm-up,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Dumbbell Split Jump,Plyometrics,Legs,Jump,Intermediate,Dumbbells,"Jump into a split stance while holding dumbbells, focusing on your legs.",Increase speed for more intensity.,Keep your core engaged.,Builds leg strength and coordination.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Banded Step-up,Strength,Legs,Step,Intermediate,Resistance Band,"Step up onto a platform with a resistance band, focusing on your legs.",Adjust band resistance for variation.,Keep your core engaged.,Builds leg strength and coordination.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Barbell Curtsey Lunge,Strength,Legs,Lunge,Intermediate,Barbell,"Lunge back and to the side with a barbell, focusing on your legs.",Use different weights for variation.,Keep your core engaged.,Builds leg strength and coordination.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Adductors,"Core, Ankle Stabilizers"
Dumbbell Jump Squat,Plyometrics,Legs,Jump,Intermediate,Dumbbells,"Jump squat while holding dumbbells, focusing on your legs.",Increase speed for more intensity.,Keep your core engaged.,Builds leg strength and coordination.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Barbell Split Squat,Strength,Legs,Lunge,Intermediate,Barbell,"Squat down with one leg back, focusing on your legs.",Use different weights for variation.,Keep your core engaged.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Lever Shoulder Press (Hammer Grip),Strength,Shoulders,Push,Intermediate,Lever Machine,"Press the lever overhead with a hammer grip, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Cable Seated Cross Arm Twist,Strength,Core,Rotation,Intermediate,Cable Machine,"Twist your torso while seated with a cable, focusing on your core.",Adjust cable height for variation.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
All Fours Squad Stretch,Flexibility,Back,Stretch,Beginner,,"Stretch your back on all fours, focusing on your spine.",Increase stretch time for more intensity.,Keep your core engaged.,Improves back flexibility.,Static.,Cool down,Stability,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
Wrist Ulnar Deviator And Extensor Stretch,Flexibility,Forearms,Stretch,Beginner,,"Stretch your forearms by bending your wrists, focusing on the ulnar deviator and extensor muscles.",Increase stretch time for more intensity.,Keep your core engaged.,Improves forearm flexibility.,Static.,Cool down,Stability,Forearm Flexors,,Forearm Extensors,"Core, Scapular Stabilizers"
Reverse Wrist Stretch,Flexibility,Forearms,Stretch,Beginner,,"Stretch your forearms by bending your wrists in the opposite direction, focusing on the flexor muscles.",Increase stretch time for more intensity.,Keep your core engaged.,Improves forearm flexibility.,Static.,Cool down,Stability,Forearm Flexors,,Forearm Extensors,"Core, Scapular Stabilizers"
Wrist Stretch,Flexibility,Forearms,Stretch,Beginner,,"Stretch your forearms by bending your wrists, focusing on the flexor muscles.",Increase stretch time for more intensity.,Keep your core engaged.,Improves forearm flexibility.,Static.,Cool down,Stability,Forearm Flexors,,Forearm Extensors,"Core, Scapular Stabilizers"
Burpees,Plyometrics,Full Body,Jump,Beginner,,"Perform a burpee by jumping and doing a push-up, focusing on your full body.",Increase speed for more intensity.,Keep your core engaged.,Builds full body strength and endurance.,Dynamic.,Main workout,Power,Pectorals,"Triceps, Quadriceps",Latissimus Dorsi,"Core, Scapular Stabilizers"
Dumbbell Lying Rear Lateral Raise,Strength,Shoulders,Lift,Intermediate,Dumbbells,"Raise the dumbbells laterally while lying down, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Lever Biceps Curl,Strength,Biceps,Curl,Intermediate,Lever Machine,"Curl the lever bar towards your chest, focusing on your biceps.",Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Barbell Glute Bridge On Bench,Strength,Glutes,Extension,Intermediate,Barbell,"Lift the barbell with your hips while on a bench, focusing on your glutes.",Use different weights for variation.,Keep your core engaged.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
Cable Incline Biceps Curl,Strength,Biceps,Curl,Intermediate,Cable Machine,"Curl the cable towards your chest while on an incline, focusing on your biceps.",Adjust cable height for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Lever Reverse Shoulder Press,Strength,Shoulders,Push,Intermediate,Lever Machine,"Press the lever overhead with a reverse grip, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Lever Kneeling Leg Curl,Strength,Hamstrings,Curl,Intermediate,Lever Machine,"Curl the lever bar towards your body while kneeling, focusing on your hamstrings.",Use different weights for variation.,Keep your core engaged.,Builds hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,Glutes,Quadriceps,"Core, Lower Back"
Standing Twist Machine,Strength,Core,Rotation,Beginner,Twist Machine,"Twist your torso while standing on a machine, focusing on your core.",Adjust machine settings for variation.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Side Lying Rear Delt Dumbbell Raise,Strength,Shoulders,Lift,Intermediate,Dumbbells,"Raise the dumbbells laterally while lying on your side, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Scapula Dips,Strength,Shoulders,Push,Beginner,,"Perform dips with a focus on scapular movement, engaging your shoulders.",Increase speed for more intensity.,Keep your core engaged.,Builds shoulder stability.,Controlled.,Main workout,Stability,Serratus Anterior,,Rhomboids,"Core, Scapular Stabilizers"
Triceps Extension Machine,Strength,Triceps,Extension,Beginner,Machine,"Extend your triceps on a machine, focusing on your triceps.",Adjust machine settings for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Ez-Bar Incline Front Raise,Strength,Shoulders,Lift,Intermediate,Ez-Bar,"Raise the EZ-bar in front of you while on an incline, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Triceps Dip Machine,Strength,Triceps,Push,Beginner,Machine,"Perform dips on a machine, focusing on your triceps.",Adjust machine settings for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers"
Seated Crunch Machine,Strength,Core,Crunch,Beginner,Machine,"Crunch on a machine while seated, focusing on your core.",Adjust machine settings for variation.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Rectus Abdominis,,Erector Spinae,"Core, Lower Back"
Push-Up Plus,Strength,Chest,Push,Beginner,,"Perform a push-up with an added scapular protraction at the top, focusing on your chest and shoulders.",Increase speed for more intensity.,Keep your core engaged.,Builds chest and shoulder strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Seated Toe Touches,Flexibility,Hamstrings,Stretch,Beginner,,"Touch your toes while seated, focusing on your hamstrings.",Hold a weight plate for added resistance.,Keep your core engaged.,Improves hamstring flexibility.,Static.,Cool down,Stability,Hamstrings,Glutes,Hip Flexors,"Core, Lower Back"
Vibration Plate,Recovery,Full Body,Dynamic,Beginner,Vibration Plate,Stand on a vibration plate to improve circulation and muscle recovery.,Increase speed for more intensity.,Keep your core engaged.,Improves recovery and circulation.,Dynamic.,Cool down,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
